Symbol,TokenAddress,TimeStamp,MovementType,Quantity,Countervalue,SymbolCountervalue,SourceCountervalue,SourceSymbolCountervalue
ETH,,2023-01-26 16:45:15,DEBIT,-0.31,-455.214732965009208103130755064456721915,EUR,,
BETH,,2023-01-26 20:42:05,CREDIT,0.1815,263.788333333333333333333333333333333333,EUR,,
ETH,,2023-01-26 20:42:05,DEBIT,-0.1815,-267.85,EUR,,
BTC,,2023-01-27 03:07:15,EARN,0.00000057,0,EUR,0,USD
BTC,,2023-01-28 03:47:02,EARN,0.0000008,0,EUR,0,USD
BETH,,2023-01-28 08:33:34,STAKING,0.00002244,0,EUR,0,USD
BTC,,2023-01-29 03:22:08,EARN,0.0000008,0,EUR,0,USD
USDT,,2023-01-29 04:48:14,EARN,0.11851384,0,EUR,0,USD
BETH,,2023-01-29 08:33:44,STAKING,0.0000259,0,EUR,0,USD
BTC,,2023-01-30 03:42:10,EARN,0.0000008,0,EUR,0,USD
USDT,,2023-01-30 04:04:22,EARN,0.11851384,0,EUR,0,USD
BETH,,2023-01-30 08:33:39,STAKING,0.00002191,0,EUR,0,USD
USDT,,2023-01-31 04:20:52,EARN,0.1185317,0,EUR,0,USD
BTC,,2023-01-31 04:29:08,EARN,0.0000008,0,EUR,0,USD
BETH,,2023-01-31 08:34:04,STAKING,0.00002246,0,EUR,0,USD
USDT,,2023-02-01 03:27:49,EARN,0.11854955,0,EUR,0,USD
BTC,,2023-02-01 04:27:00,EARN,0.0000008,0,EUR,0,USD
BETH,,2023-02-01 08:33:36,STAKING,0.00002121,0,EUR,0,USD
BTC,,2023-02-02 03:33:53,EARN,0.0000008,0,EUR,0,USD
USDT,,2023-02-02 04:34:21,EARN,0.11856742,0,EUR,0,USD
BETH,,2023-02-02 08:33:21,STAKING,0.00002158,0,EUR,0,USD
USDT,,2023-02-03 03:34:08,EARN,0.11858528,0,EUR,0,USD
BTC,,2023-02-03 04:30:17,EARN,0.0000008,0,EUR,0,USD
BETH,,2023-02-03 08:34:09,STAKING,0.00002225,0,EUR,0,USD
BTC,,2023-02-03 19:56:24,CREDIT,0.0037,79.968990740740740740740740740740740741,EUR,,
EUR,,2023-02-03 19:56:24,DEBIT,-79883,-79883,EUR,,
BTC,,2023-02-04 04:08:59,EARN,0.0000008,0,EUR,0,USD
USDT,,2023-02-04 04:35:05,EARN,0.11860314,0,EUR,0,USD
BETH,,2023-02-04 08:33:16,STAKING,0.00001895,0,EUR,0,USD
BTC,,2023-02-04 08:47:49,CREDIT,0.00928,200.49960333642261353104726598702502317,EUR,,
EUR,,2023-02-04 08:47:49,DEBIT,-200.53152,-200.53152,EUR,,
USDT,,2023-02-04 08:49:19,CREDIT,216.3168,200.478962001853568118628359592215013826,EUR,,
BTC,,2023-02-04 08:49:19,DEBIT,-0.00928,-200.49960333642261353104726598702502317,EUR,,
BTC,,2023-02-05 03:26:23,EARN,0.0000008,0,EUR,0,USD
USDT,,2023-02-05 04:21:23,EARN,0.11862101,0,EUR,0,USD
BETH,,2023-02-05 08:33:26,STAKING,0.00002358,0,EUR,0,USD
BTC,,2023-02-06 03:05:18,EARN,0.00000083,0,EUR,0,USD
USDT,,2023-02-06 03:37:43,EARN,0.15100204,0,EUR,0,USD
BETH,,2023-02-06 08:33:24,STAKING,0.0000225,0,EUR,0,USD
BTC,,2023-02-07 04:20:37,EARN,0.00000083,0,EUR,0,USD
USDT,,2023-02-07 04:28:27,EARN,0.15101244,0,EUR,0,USD
BETH,,2023-02-07 08:33:50,STAKING,0.00002309,0,EUR,0,USD
USDT,,2023-02-08 04:19:53,EARN,0.15102568,0,EUR,0,USD
BTC,,2023-02-08 04:44:50,EARN,0.00000083,0,EUR,0,USD
BETH,,2023-02-08 08:33:26,STAKING,0.0000217,0,EUR,0,USD
USDT,,2023-02-09 03:32:29,EARN,0.15103892,0,EUR,0,USD
BTC,,2023-02-09 03:50:37,EARN,0.00000083,0,EUR,0,USD
BETH,,2023-02-09 08:33:33,STAKING,0.0000215,0,EUR,0,USD
USDT,,2023-02-10 04:04:48,EARN,0.15105216,0,EUR,0,USD
BTC,,2023-02-10 04:07:28,EARN,0.00000083,0,EUR,0,USD
BTC,,2023-02-10 05:55:27,CREDIT,0.00688,139.930985074626865671641791044776119403,EUR,,
USDT,,2023-02-10 05:55:27,DEBIT,-149.977362,-139.904255597014925373134328358208955249,EUR,,
BETH,,2023-02-10 08:33:55,STAKING,0.00002374,0,EUR,0,USD
BTC,,2023-02-11 03:27:47,EARN,0.00000083,0,EUR,0,USD
USDT,,2023-02-11 03:38:19,EARN,0.1287404,0,EUR,0,USD
BETH,,2023-02-11 08:33:24,STAKING,0.0000263,0,EUR,0,USD
BTC,,2023-02-12 04:11:01,EARN,0.00000087,0,EUR,0,USD
USDT,,2023-02-12 04:11:22,EARN,0.12876657,0,EUR,0,USD
BETH,,2023-02-12 08:33:28,STAKING,0.00002477,0,EUR,0,USD
BTC,,2023-02-13 03:58:23,EARN,0.00000087,0,EUR,0,USD
USDT,,2023-02-13 04:01:15,EARN,0.12878597,0,EUR,0,USD
BETH,,2023-02-13 08:33:30,STAKING,0.00002449,0,EUR,0,USD
USDT,,2023-02-14 03:44:27,EARN,0.12880537,0,EUR,0,USD
BTC,,2023-02-14 04:27:02,EARN,0.00000087,0,EUR,0,USD
BTC,,2023-02-14 06:52:18,CREDIT,0.00371,75.16525633147113594040968342644320298,EUR,,
EUR,,2023-02-14 06:52:18,DEBIT,-75.0865045,-75.0865045,EUR,,
BETH,,2023-02-14 08:33:46,STAKING,0.00002402,0,EUR,0,USD
USDT,,2023-02-14 20:11:15,CREDIT,232.8688833,217.025986300093196644920782851817334487,EUR,,
BTC,,2023-02-14 20:11:15,DEBIT,-0.0105,-217.135400745573159366262814538676607642,EUR,,
BTC,,2023-02-15 03:35:25,EARN,0.0000008,0,EUR,0,USD
USDT,,2023-02-15 04:03:51,EARN,0.12882477,0,EUR,0,USD
BETH,,2023-02-15 08:33:24,STAKING,0.00002123,0,EUR,0,USD
BTC,,2023-02-15 22:16:10,CREDIT,0.01871,424.704584953271028037383177570093457944,EUR,,
EUR,,2023-02-15 22:16:10,DEBIT,-423.7815,-423.7815,EUR,,
USDT,,2023-02-15 22:19:42,CREDIT,455.5885,427.060995794392523364485981308411214915,EUR,,
BTC,,2023-02-15 22:19:42,DEBIT,-0.01871,-425.033321401869158878504672897196261682,EUR,,
USDT,,2023-02-16 06:17:24,EARN,0.12884418,0,EUR,0,USD
BTC,,2023-02-16 06:35:15,EARN,0.00000083,0,EUR,0,USD
BETH,,2023-02-16 08:33:24,STAKING,0.00002127,0,EUR,0,USD
USDT,,2023-02-17 03:48:54,EARN,0.19834364,0,EUR,0,USD
BTC,,2023-02-17 04:36:15,EARN,0.00000083,0,EUR,0,USD
BTC,,2023-02-17 07:14:07,CREDIT,0.0045,100.465460526315789473684210526315789474,EUR,,
EUR,,2023-02-17 07:14:07,DEBIT,-100.4175,-100.4175,EUR,,
BETH,,2023-02-17 08:33:26,STAKING,0.00002845,0,EUR,0,USD
EUR,,2023-02-17 09:45:12,CREDIT,1000,1E+3,EUR,,
BTC,,2023-02-18 03:34:26,EARN,0.00000083,0,EUR,0,USD
USDT,,2023-02-18 04:36:52,EARN,0.19835493,0,EUR,0,USD
BETH,,2023-02-18 08:33:24,STAKING,0.00002866,0,EUR,0,USD
BTC,,2023-02-19 03:22:03,EARN,0.00000086,0,EUR,0,USD
USDT,,2023-02-19 04:28:38,EARN,0.19837232,0,EUR,0,USD
BETH,,2023-02-19 08:33:22,STAKING,0.00002664,0,EUR,0,USD
USDT,,2023-02-20 03:58:13,EARN,0.20435411,0,EUR,0,USD
BTC,,2023-02-20 04:10:26,EARN,0.00000086,0,EUR,0,USD
BETH,,2023-02-20 08:33:24,STAKING,0.00002635,0,EUR,0,USD
BTC,,2023-02-21 03:18:10,EARN,0.00000086,0,EUR,0,USD
USDT,,2023-02-21 05:02:31,EARN,0.20437367,0,EUR,0,USD
